City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
117,Klaksvik,62.2266,-6.589,52.72,90,100,19.48,FO,overcast clouds
118,Galle,6.0367,80.217,79.34,88,97,9.33,LK,overcast clouds
119,Dingle,10.9995,122.6711,74.89,93,62,3.11,PH,broken clouds
120,Mineiros,-17.5694,-52.5511,98.04,12,5,9.1,BR,clear sky
121,Huarmey,-10.0681,-78.1522,69.3,68,64,12.15,PE,broken clouds
122,Sorong,-0.8833,131.25,77.02,86,100,4.5,ID,light rain
123,Lompoc,34.6391,-120.4579,68.02,78,90,6.91,US,overcast clouds
124,Sao Filipe,14.8961,-24.4956,78.96,77,90,13.71,CV,overcast clouds
125,Mindyak,54.0231,58.7891,39.76,83,98,8.12,RU,overcast clouds
126,Muroto,33.2833,134.15,79.16,89,100,36.15,JP,overcast clouds
127,Vallenar,-28.5708,-70.7581,78.96,22,17,6.87,CL,few clouds
128,Grand-Lahou,5.1367,-5.0242,77.11,91,92,9.69,CI,overcast clouds
129,Biak,-0.9131,122.8766,74.98,83,94,8.16,ID,overcast clouds
130,Buala,-8.145,159.5921,79.5,82,95,6.69,SB,overcast clouds
131,Hovd,48.0056,91.6419,56.88,41,44,8.32,MN,scattered clouds
132,Saskylakh,71.9167,114.0833,30.36,91,98,10.25,RU,overcast clouds
133,Morondava,-20.2833,44.2833,75.85,77,12,12.75,MG,few clouds
134,Clarence Town,-32.5833,151.7833,60.94,69,99,2.55,AU,overcast clouds
135,San Rafael,-34.6177,-68.3301,72.3,16,40,6.78,AR,scattered clouds
136,Luderitz,-26.6481,15.1594,59.95,58,0,7.74,NA,clear sky
137,Nikolskoye,59.7035,30.7861,46.29,85,36,4.56,RU,scattered clouds
138,Vila Franca Do Campo,37.7167,-25.4333,72.01,75,96,7.23,PT,overcast clouds
139,Carnarvon,-24.8667,113.6333,59.07,63,0,17.27,AU,clear sky
140,Halifax,44.6453,-63.5724,69.69,87,90,3.0,CA,overcast clouds
141,Santa Maria,-29.6842,-53.8069,60.12,96,92,4.81,BR,overcast clouds
142,Port Saint John,28.477,-80.7887,91.11,73,40,3.0,US,scattered clouds
143,Severnyy,50.677,36.5532,57.24,67,0,11.18,RU,light rain
144,Qaanaaq,77.484,-69.3632,13.89,69,5,7.23,GL,clear sky
145,Campoverde,-8.4753,-74.8058,82.09,68,97,2.66,PE,overcast clouds
146,Victor Harbor,-35.5667,138.6167,55.49,64,20,17.16,AU,light rain
147,Coquimbo,-29.9533,-71.3436,58.73,72,40,11.5,CL,scattered clouds
148,Piney Green,34.716,-77.3202,86.97,70,75,6.91,US,broken clouds
149,Bonnyville,54.2668,-110.735,49.32,40,98,13.51,CA,overcast clouds
150,Lata,40.1629,-8.3327,72.05,83,60,6.35,PT,broken clouds
151,Rundu,-17.9333,19.7667,76.17,13,3,5.5,NA,clear sky
152,Nouadhibou,20.931,-17.0347,72.81,81,77,24.36,MR,broken clouds
153,Sao Miguel Do Guama,-1.6267,-47.4833,85.51,69,58,4.23,BR,broken clouds
154,Kyra,49.5776,111.9753,47.61,96,86,2.48,RU,overcast clouds
155,Vestmannaeyjar,63.4427,-20.2734,47.88,63,62,18.66,IS,broken clouds
156,Sioux Lookout,50.1001,-91.917,54.0,54,29,15.01,CA,scattered clouds
157,Broome,42.2506,-75.833,76.17,69,90,1.01,US,overcast clouds
158,Ancud,-41.8697,-73.8203,54.43,80,87,13.49,CL,light rain
159,Castro,-24.7911,-50.0119,63.97,86,100,5.55,BR,overcast clouds
160,Poletayevo,55.0336,61.1138,44.42,85,100,11.83,RU,overcast clouds
